/informationTable,,,,,,,,,,,,,,,
/infoTable/cusip,/infoTable/investmentDiscretion,/infoTable/nameOfIssuer,/infoTable/otherManager,/infoTable/shrsOrPrnAmt/sshPrnamt,/infoTable/shrsOrPrnAmt/sshPrnamt/#agg,/infoTable/shrsOrPrnAmt/sshPrnamtType,/infoTable/titleOfClass,/infoTable/value,/infoTable/value/#agg,/infoTable/votingAuthority/None,/infoTable/votingAuthority/None/#agg,/infoTable/votingAuthority/Shared,/infoTable/votingAuthority/Shared/#agg,/infoTable/votingAuthority/Sole,/infoTable/votingAuthority/Sole/#agg
9.2343E+106,DFND,VERISIGN INC,4,5047264,5047264,SH,COM,972507,972507,0,0,0,0,5047264,5047264
9.2343E+106,DFND,VERISIGN INC,"4,8,11",7905481,7905481,SH,COM,1523228,1523228,0,0,0,0,7905481,7905481
92826C839,DFND,VISA INC,4,323300,323300,SH,COM CL A,60748,60748,0,0,0,0,323300,323300
92826C839,DFND,VISA INC,"4,8,11",10239160,10239160,SH,COM CL A,1923938,1923938,0,0,0,0,10239160,10239160
949746101,DFND,WELLS FARGO & CO NEW,4,1800000,1800000,SH,COM,96840,96840,0,0,0,0,1800000,1800000
949746101,DFND,WELLS FARGO & CO NEW,"1,2,4,11",450000,450000,SH,COM,24210,24210,0,0,0,0,450000,450000
949746101,DFND,WELLS FARGO & CO NEW,"2,4,11",5303500,5303500,SH,COM,285328,285328,0,0,0,0,5303500,5303500
949746101,DFND,WELLS FARGO & CO NEW,"3,4,5",6812857,6812857,SH,COM,366532,366532,0,0,0,0,6812857,6812857
949746101,DFND,WELLS FARGO & CO NEW,"4,5",56237071,56237071,SH,COM,3025554,3025554,0,0,0,0,56237071,56237071
949746101,DFND,WELLS FARGO & CO NEW,"4,6",820000,820000,SH,COM,44116,44116,0,0,0,0,820000,820000
949746101,DFND,WELLS FARGO & CO NEW,"4,7",1700000,1700000,SH,COM,91460,91460,0,0,0,0,1700000,1700000
949746101,DFND,WELLS FARGO & CO NEW,"4,8,11",25623100,25623100,SH,COM,1378523,1378523,0,0,0,0,25623100,25623100
949746101,DFND,WELLS FARGO & CO NEW,"4,5,9",8567000,8567000,SH,COM,460905,460905,0,0,0,0,8567000,8567000
949746101,DFND,WELLS FARGO & CO NEW,"4,10",44573430,44573430,SH,COM,2398051,2398051,0,0,0,0,44573430,44573430
949746101,DFND,WELLS FARGO & CO NEW,"4,11",164928240,164928240,SH,COM,8873139,8873139,0,0,0,0,164928240,164928240
949746101,DFND,WELLS FARGO & CO NEW,"4,12",2788000,2788000,SH,COM,149994,149994,0,0,0,0,2788000,2788000
949746101,DFND,WELLS FARGO & CO NEW,"4,13",1609720,1609720,SH,COM,86603,86603,0,0,0,0,1609720,1609720
949746101,DFND,WELLS FARGO & CO NEW,"4,14",2000000,2000000,SH,COM,107600,107600,0,0,0,0,2000000,2000000
G0750C108,DFND,AXALTA COATING SYS LTD,4,3324000,3324000,SH,COM,101050,101050,0,0,0,0,3324000,3324000
G0750C108,DFND,AXALTA COATING SYS LTD,"4,8,11",20546957,20546957,SH,COM,624627,624627,0,0,0,0,20546957,20546957
G0750C108,DFND,AXALTA COATING SYS LTD,"4,11",393043,393043,SH,COM,11949,11949,0,0,0,0,393043,393043
G5480U104,DFND,LIBERTY GLOBAL PLC,4,8379000,8379000,SH,SHS CL A,190538,190538,0,0,0,0,8379000,8379000
G5480U104,DFND,LIBERTY GLOBAL PLC,"4,8,11",11190970,11190970,SH,SHS CL A,254483,254483,0,0,0,0,11190970,11190970
G5480U104,DFND,LIBERTY GLOBAL PLC,"4,11",221030,221030,SH,SHS CL A,5026,5026,0,0,0,0,221030,221030
G5480U120,DFND,LIBERTY GLOBAL PLC,"4,8,11",7346968,7346968,SH,SHS CL C,160127,160127,0,0,0,0,7346968,7346968
G85158106,DFND,STONECO LTD,"4,11",14166748,14166748,SH,COM CL A,565112,565112,0,0,0,0,14166748,14166748
G9001E102,DFND,LIBERTY LATIN AMERICA LTD,4,1089669,1089669,SH,COM CL A,21031,21031,0,0,0,0,1089669,1089669
G9001E102,DFND,LIBERTY LATIN AMERICA LTD,"4,8,11",1625185,1625185,SH,COM CL A,31366,31366,0,0,0,0,1625185,1625185
G9001E128,DFND,LIBERTY LATIN AMERICA LTD,"4,8,11",1284020,1284020,SH,COM CL C,24987,24987,0,0,0,0,1284020,1284020
